name,vehicle,violation,recipient,status
Ravi,AP09AB1234,1,8309246264,SENT
Sita,AP09CD5678,2,9640328999,SENT
Rahul,AP09EF9999,3,9589168916,SENT
Rahul,AP09EF9999,3,9123111111,SENT
Rahul,AP09EF9999,3,9000000000,SENT
Rahul,AP09EF9999,3,9589168916,SENT
Rahul,AP09EF9999,3,9063720999,SENT
Sita,AP09CD5678,2,8309246264,SENT
Prathap,AP09AB1234,1,9640308999,SENT
Rahul,AP09EF9999,3,9063710999,SENT
Prathap,AP09AB1234,1,bvdpreddybode@gmail.com,SENT
Sita,AP09CD5678,2,24071a6772@vnrvjiet.in,SENT
Rahul,AP09EF9999,3,24071a67c9@vnrvjiet.in,SENT
Rahul,AP09EF9999,3,parent3@gmail.com,SENT
Rahul,AP09EF9999,3,hod@gmail.com,SENT
Rahul,AP09EF9999,3,9589168916,SENT
Prathap,AP09AB1234,1,9640328999,SENT
undefined,undefined,undefined,undefined,FAILED
Nagaraju,AP09CD5678,3,8309246264,SENT
Rahul,AP09EF9999,3,9063720999,SENT
Nagaraju,AP09CD5678,3,9063720999,SENT
Rahul,AP09EF9999,3,9063710999,SENT
Nagaraju,AP09CD5678,3,9063710999,SENT
undefined,undefined,undefined,undefined,FAILED
Prathap,AP09AB1234,1,bvdpreddybode@gmail.com,SENT
Rahul,AP09EF9999,3,24071a67c9@vnrvjietin,SENT
Nagaraju,AP09CD5678,3,24071a6771@vnrvjiet.in,SENT
Rahul,AP09EF9999,3,parent3@gmail.com,SENT
Nagaraju,AP09CD5678,3,parent2@gmail.com,SENT
Rahul,AP09EF9999,3,hod@gmail.com,SENT
Nagaraju,AP09CD5678,3,bvdpreddybode@gmail.com,SENT
